zip,commune,province,rank
7548,TOURNAI,Hainaut,281.0
8790,WAREGEM,Flandre-Occidentale,297.0
7890,ELLEZELLES,Hainaut,100.0
8850,ARDOOIE,Flandre-Occidentale,375.0
5001,NAMUR,Namur,258.0
3360,BIERBEEK,Brabant Flamand,562.0
1547,BIÉVÈNE,Brabant Flamand,566.0
7783,COMINES-WARNETON,Hainaut,503.0
6921,WELLIN,Luxembourg,303.0
7521,TOURNAI,Hainaut,281.0
9570,LIERDE,Flandre-Orientale,386.0
8720,DENTERGEM,Flandre-Occidentale,507.0
6853,PALISEUL,Luxembourg,131.0
3200,AARSCHOT,Brabant Flamand,335.0
1470,GENAPPE,Brabant Wallon,506.0
1850,GRIMBERGEN,Brabant Flamand,436.0
7022,MONS,Hainaut,40.0
3940,HECHTEL-EKSEL,Limbourg,134.0
4680,OUPEYE,Liège,132.0
3550,HEUSDEN-ZOLDER,Limbourg,236.0
4342,AWANS,Liège,369.0
7060,SOIGNIES,Hainaut,67.0
4845,JALHAY,Liège,508.0
4357,DONCEEL,Liège,111.0
8870,IZEGEM,Flandre-Occidentale,222.0
1880,KAPELLE-OP-DEN-BOS,Brabant Flamand,497.0
9451,HAALTERT,Flandre-Orientale,279.0
6761,VIRTON,Luxembourg,110.0
6463,CHIMAY,Hainaut,95.0
6630,MARTELANGE,Luxembourg,351.0
1785,MERCHTEM,Brabant Flamand,412.0
1400,NIVELLES,Brabant Wallon,284.0
2640,MORTSEL,Anvers,326.0
2491,BALEN,Anvers,240.0
7782,COMINES-WARNETON,Hainaut,503.0
7034,MONS,Hainaut,40.0
5003,NAMUR,Namur,258.0
5364,HAMOIS,Namur,413.0
4100,SERAING,Liège,26.0
9830,SINT-MARTENS-LATEM,Flandre-Orientale,579.0
1932,ZAVENTEM,Brabant Flamand,510.0
5140,SOMBREFFE,Namur,215.0
4840,WELKENRAEDT,Liège,170.0
3020,HERENT,Brabant Flamand,518.0
2050,ANTWERPEN,Anvers,334.0
8580,AVELGEM,Flandre-Occidentale,105.0
6987,RENDEUX,Luxembourg,11.0
7320,BERNISSART,Hainaut,96.0
3950,BOCHOLT,Limbourg,251.0
4653,HERVE,Liège,431.0
6880,BERTRIX,Luxembourg,59.0
8740,PITTEM,Flandre-Occidentale,394.0
2520,RANST,Anvers,528.0
5572,BEAURAING,Namur,38.0
6800,LIBRAMONT-CHEVIGNY,Luxembourg,173.0
7530,TOURNAI,Hainaut,281.0
5024,NAMUR,Namur,258.0
2280,GROBBENDONK,Anvers,463.0
6723,HABAY,Luxembourg,355.0
5540,HASTIÈRE,Namur,14.0
7021,MONS,Hainaut,40.0
2620,HEMIKSEM,Anvers,298.0
4682,OUPEYE,Liège,132.0
9750,KRUISEM,Flandre-Orientale,519.0
1540,HERNE,Brabant Flamand,498.0
4217,HÉRON,Liège,272.0
8510,KORTRIJK,Flandre-Occidentale,352.0
3470,KORTENAKEN,Brabant Flamand,300.0
2811,MECHELEN,Anvers,479.0
8810,LICHTERVELDE,Flandre-Occidentale,321.0
9680,MAARKEDAL,Flandre-Orientale,505.0
2328,HOOGSTRATEN,Anvers,500.0
8377,ZUIENKERKE,Flandre-Occidentale,561.0
2330,MERKSPLAS,Anvers,212.0
9771,KRUISEM,Flandre-Orientale,519.0
3321,HOEGAARDEN,Brabant Flamand,514.0
7322,BERNISSART,Hainaut,96.0
4610,BEYNE-HEUSAY,Liège,164.0
7804,ATH,Hainaut,104.0
8730,BEERNEM,Flandre-Occidentale,483.0
6997,EREZÉE,Luxembourg,109.0
9250,WAASMUNSTER,Flandre-Orientale,567.0
1170,WATERMAEL-BOITSFORT,Bruxelles (19 communes),575.0
2390,MALLE,Anvers,435.0
2018,ANTWERPEN,Anvers,334.0
7910,FRASNES-LEZ-ANVAING,Hainaut,340.0
9120,BEVEREN-WAAS,Flandre-Orientale,316.0
9552,HERZELE,Flandre-Orientale,363.0
1420,BRAINE-L'ALLEUD,Brabant Wallon,488.0
